category,source_name,url,local_path,status,size_bytes,note
stage_sheet,Spriters Resource Stage 19,https://www.spriters-resource.com/nes/batcity/asset/121321/,04-stage-tiles-maps/spriters-resource-stage-sheets/battle-city-stage-19-sheet.png,present,3324,
stage_sheet,Spriters Resource Stage 20,https://www.spriters-resource.com/nes/batcity/asset/121322/,04-stage-tiles-maps/spriters-resource-stage-sheets/battle-city-stage-20-sheet.png,present,5041,
stage_sheet,Spriters Resource Stage 21,https://www.spriters-resource.com/nes/batcity/asset/125841/,04-stage-tiles-maps/spriters-resource-stage-sheets/battle-city-stage-21-sheet.png,present,3879,
stage_sheet,Spriters Resource Stage 22,https://www.spriters-resource.com/nes/batcity/asset/125842/,04-stage-tiles-maps/spriters-resource-stage-sheets/battle-city-stage-22-sheet.png,present,4682,
stage_sheet,Spriters Resource Stage 23,https://www.spriters-resource.com/nes/batcity/asset/140649/,04-stage-tiles-maps/spriters-resource-stage-sheets/battle-city-stage-23-sheet.png,present,3161,
stage_sheet,Spriters Resource Stage 24,https://www.spriters-resource.com/nes/batcity/asset/140650/,04-stage-tiles-maps/spriters-resource-stage-sheets/battle-city-stage-24-sheet.png,present,4074,
stage_sheet,Spriters Resource Stage 25,https://www.spriters-resource.com/nes/batcity/asset/140651/,04-stage-tiles-maps/spriters-resource-stage-sheets/battle-city-stage-25-sheet.png,present,4045,
stage_sheet,Spriters Resource Stage 26,https://www.spriters-resource.com/nes/batcity/asset/140652/,04-stage-tiles-maps/spriters-resource-stage-sheets/battle-city-stage-26-sheet.png,present,5235,
stage_sheet,Spriters Resource Stage 27,https://www.spriters-resource.com/nes/batcity/asset/140653/,04-stage-tiles-maps/spriters-resource-stage-sheets/battle-city-stage-27-sheet.png,present,4339,
stage_sheet,Spriters Resource Stage 28,https://www.spriters-resource.com/nes/batcity/asset/140654/,04-stage-tiles-maps/spriters-resource-stage-sheets/battle-city-stage-28-sheet.png,present,4388,
stage_sheet,Spriters Resource Stage 29,https://www.spriters-resource.com/nes/batcity/asset/140655/,04-stage-tiles-maps/spriters-resource-stage-sheets/battle-city-stage-29-sheet.png,present,4785,
stage_sheet,Spriters Resource Stage 30,https://www.spriters-resource.com/nes/batcity/asset/140656/,04-stage-tiles-maps/spriters-resource-stage-sheets/battle-city-stage-30-sheet.png,present,4306,
stage_sheet,Spriters Resource Stage 31,https://www.spriters-resource.com/nes/batcity/asset/140657/,04-stage-tiles-maps/spriters-resource-stage-sheets/battle-city-stage-31-sheet.png,present,5169,
